time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,27,14,42,13
2026-05-11 00:00:00+00:00,6,6,71,8
2026-05-12 00:00:00+00:00,25,9,41,4
2026-05-13 00:00:00+00:00,36,14,21,8
2026-05-14 00:00:00+00:00,16,7,26,12
2026-05-15 00:00:00+00:00,19,10,35,14
2026-05-16 00:00:00+00:00,30,9,91,14
2026-05-17 00:00:00+00:00,8,3,24,7
2026-05-18 00:00:00+00:00,9,7,60,10
2026-05-19 00:00:00+00:00,17,7,35,13
2026-05-20 00:00:00+00:00,13,6,28,10
2026-05-21 00:00:00+00:00,42,16,30,14
2026-05-22 00:00:00+00:00,13,7,37,14
2026-05-23 00:00:00+00:00,12,6,13,10
